title,link,level
"문자열 내 p와 y의 개수
          ",https://programmers.co.kr/learn/courses/30/lessons/12916,level-1
"문자열 내림차순으로 배치하기
          ",https://programmers.co.kr/learn/courses/30/lessons/12917,level-1
"문자열 다루기 기본
          ",https://programmers.co.kr/learn/courses/30/lessons/12918,level-1
"서울에서 김서방 찾기
          ",https://programmers.co.kr/learn/courses/30/lessons/12919,level-1
"선입 선출 스케줄링
          ",https://programmers.co.kr/learn/courses/30/lessons/12920,level-4
"소수 찾기
          ",https://programmers.co.kr/learn/courses/30/lessons/12921,level-1
"수박수박수박수박수박수?
          ",https://programmers.co.kr/learn/courses/30/lessons/12922,level-1
"숫자 블록
          ",https://programmers.co.kr/learn/courses/30/lessons/12923,level-4
"숫자의 표현
          ",https://programmers.co.kr/learn/courses/30/lessons/12924,level-2
"문자열을 정수로 바꾸기
          ",https://programmers.co.kr/learn/courses/30/lessons/12925,level-1
"시저 암호
          ",https://programmers.co.kr/learn/courses/30/lessons/12926,level-1
"야근 지수
          ",https://programmers.co.kr/learn/courses/30/lessons/12927,level-3
"약수의 합
          ",https://programmers.co.kr/learn/courses/30/lessons/12928,level-1
"올바른 괄호의 갯수
          ",https://programmers.co.kr/learn/courses/30/lessons/12929,level-4
"이상한 문자 만들기
          ",https://programmers.co.kr/learn/courses/30/lessons/12930,level-1
"자릿수 더하기
          ",https://programmers.co.kr/learn/courses/30/lessons/12931,level-1
"자연수 뒤집어 배열로 만들기
          ",https://programmers.co.kr/learn/courses/30/lessons/12932,level-1
"정수 내림차순으로 배치하기
          ",https://programmers.co.kr/learn/courses/30/lessons/12933,level-1
"정수 제곱근 판별
          ",https://programmers.co.kr/learn/courses/30/lessons/12934,level-1
"제일 작은 수 제거하기
          ",https://programmers.co.kr/learn/courses/30/lessons/12935,level-1
"줄 서는 방법
          ",https://programmers.co.kr/learn/courses/30/lessons/12936,level-3
"짝수와 홀수
          ",https://programmers.co.kr/learn/courses/30/lessons/12937,level-1
"최고의 집합
          ",https://programmers.co.kr/learn/courses/30/lessons/12938,level-3
"최댓값과 최솟값
          ",https://programmers.co.kr/learn/courses/30/lessons/12939,level-2
"최대공약수와 최소공배수
          ",https://programmers.co.kr/learn/courses/30/lessons/12940,level-1
"최솟값 만들기
          ",https://programmers.co.kr/learn/courses/30/lessons/12941,level-2
"최적의 행렬 곱셈
          ",https://programmers.co.kr/learn/courses/30/lessons/12942,level-4
"콜라츠 추측
          ",https://programmers.co.kr/learn/courses/30/lessons/12943,level-1
"평균 구하기
          ",https://programmers.co.kr/learn/courses/30/lessons/12944,level-1
"피보나치 수
          ",https://programmers.co.kr/learn/courses/30/lessons/12945,level-2
"하노이의 탑
          ",https://programmers.co.kr/learn/courses/30/lessons/12946,level-3
"하샤드 수
          ",https://programmers.co.kr/learn/courses/30/lessons/12947,level-1
"핸드폰 번호 가리기
          ",https://programmers.co.kr/learn/courses/30/lessons/12948,level-1
"행렬의 곱셈
          ",https://programmers.co.kr/learn/courses/30/lessons/12949,level-2
"행렬의 덧셈
          ",https://programmers.co.kr/learn/courses/30/lessons/12950,level-1
"JadenCase 문자열 만들기
          ",https://programmers.co.kr/learn/courses/30/lessons/12951,level-2
"N-Queen
          ",https://programmers.co.kr/learn/courses/30/lessons/12952,level-3
"N개의 최소공배수
          ",https://programmers.co.kr/learn/courses/30/lessons/12953,level-2
"x만큼 간격이 있는 n개의 숫자
          ",https://programmers.co.kr/learn/courses/30/lessons/12954,level-1
"직사각형 별찍기
          ",https://programmers.co.kr/learn/courses/30/lessons/12969,level-1
